"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.241012300E-2,9.092725813E-2,6.520441771E-1,9.823135376E0,9.845172319E0
2.487116500E-2,1.076770201E-1,6.496513486E-1,9.940682411E0,9.962469976E0
2.733225800E-2,1.148554832E-1,6.786643267E-1,9.943075180E0,9.966871178E0
2.979335200E-2,2.419741899E-1,7.145566344E-1,9.950253487E0,9.978811910E0
3.225439400E-2,2.587239444E-1,6.906284094E-1,9.943075180E0,9.970388644E0
3.471548800E-2,2.515454888E-1,6.640082598E-1,9.837491989E0,9.863084241E0
3.717652900E-2,2.419741899E-1,6.113662124E-1,9.859027863E0,9.880928628E0
3.963762300E-2,2.467598319E-1,6.592226624E-1,9.909276962E0,9.934245560E0
4.209626900E-2,1.507478207E-1,6.544370055E-1,9.971789360E0,9.994378207E0
4.455731100E-2,1.411765367E-1,6.113662124E-1,9.959825516E0,9.979570320E0
4.701835200E-2,4.546362907E-2,5.826523304E-1,9.914062500E0,9.931273128E0
4.947944600E-2,7.657032460E-2,5.826523304E-1,9.902098656E0,9.919521387E0
5.194048800E-2,1.100698411E-1,5.922235847E-1,9.945467949E0,9.963692933E0
5.440163300E-2,8.374879509E-2,5.515456200E-1,9.945467949E0,9.961101804E0
5.686262300E-2,1.387837082E-1,6.113662124E-1,9.892526627E0,9.912371695E0
5.932376900E-2,1.124626622E-1,5.898307562E-1,9.878170013E0,9.896402932E0
6.178481100E-2,1.028913707E-1,5.946164131E-1,9.856635094E0,9.875090414E0
6.424585200E-2,1.603191197E-1,5.970092416E-1,9.923933029E0,9.943166951E0
6.670694600E-2,1.435693651E-1,5.922235847E-1,9.870991707E0,9.889783527E0
6.916804000E-2,1.196411327E-1,6.017948985E-1,9.861420631E0,9.880490270E0
7.162871700E-2,1.268195957E-1,6.376872063E-1,9.875777245E0,9.897156378E0
7.408975800E-2,1.100698411E-1,6.376872063E-1,9.902098656E0,9.923221157E0
7.655085200E-2,1.435693651E-1,6.017948985E-1,9.863813400E0,9.883197057E0
7.901189400E-2,1.316052526E-1,6.209374666E-1,9.851848602E0,9.872274518E0
8.147298800E-2,1.363908947E-1,6.281159520E-1,9.842277527E0,9.863242826E0
8.393408100E-2,1.603191197E-1,6.520441771E-1,9.794421196E0,9.817410575E0
8.639512300E-2,1.746760458E-1,6.834499836E-1,9.854242325E0,9.879458862E0
8.885621700E-2,1.698904037E-1,7.193422914E-1,9.897313118E0,9.924873956E0
9.131725800E-2,1.627119333E-1,6.810571551E-1,9.892526627E0,9.917277705E0
9.377835200E-2,1.818545163E-1,6.520441771E-1,9.899705887E0,9.922822649E0
9.623939400E-2,1.196411327E-1,6.424728632E-1,9.906884193E0,9.928415775E0
9.870048800E-2,1.339980662E-1,6.376872063E-1,9.902098656E0,9.923515418E0
1.011496540E-1,9.810572863E-2,6.209374666E-1,9.875777245E0,9.895764966E0
1.036106960E-1,1.148554832E-1,6.113662124E-1,9.899705887E0,9.919230669E0
1.060717900E-1,8.853443712E-2,5.587241054E-1,9.947860718E0,9.963932147E0
1.085328310E-1,1.052841991E-1,5.802595019E-1,9.921540260E0,9.939051614E0
1.109939250E-1,1.076770201E-1,5.922235847E-1,9.875777245E0,9.894104270E0
1.134549670E-1,6.939185411E-2,5.874379873E-1,9.906884193E0,9.924527850E0
1.159160610E-1,5.503492057E-2,5.419743061E-1,9.859027863E0,9.874066811E0
1.183771020E-1,7.417750359E-2,5.730810165E-1,9.863813400E0,9.880725629E0
1.208381960E-1,6.460621208E-2,5.635097623E-1,9.859027863E0,9.875330253E0
1.232992900E-1,5.742774159E-2,5.802595019E-1,9.890133858E0,9.907307745E0
1.257603310E-1,6.699903309E-2,5.467599630E-1,9.916455269E0,9.931743071E0
1.282214250E-1,7.896314561E-2,5.276173949E-1,9.916455269E0,9.930795557E0
1.306817900E-1,4.307080805E-2,5.300102234E-1,9.919147491E0,9.933390805E0
1.331428310E-1,3.828516230E-2,5.563312769E-1,9.899705887E0,9.915399482E0
1.356038730E-1,6.221338734E-2,5.826523304E-1,9.863813400E0,9.881202813E0
1.380649670E-1,7.896314561E-2,6.065805554E-1,9.897313118E0,9.916197966E0
1.405260610E-1,6.221338734E-2,5.994020700E-1,9.837491989E0,9.855932324E0
1.429871540E-1,7.178468257E-2,6.329016089E-1,9.792028427E0,9.812723282E0
1.454481960E-1,1.028913707E-1,6.834499836E-1,9.813564301E0,9.837872473E0
1.479092900E-1,1.220339537E-1,7.097710371E-1,9.870991707E0,9.897229132E0
1.503703310E-1,2.009970993E-1,7.815557122E-1,9.933504105E0,9.966229626E0
1.528314250E-1,1.962114573E-1,7.911269665E-1,9.945467949E0,9.978813233E0
1.552924670E-1,2.491526604E-1,8.461619020E-1,9.844670296E0,9.884108470E0
1.577535610E-1,2.491526604E-1,7.911269665E-1,9.861420631E0,9.896240488E0
1.601953830E-1,2.563311160E-1,8.294121623E-1,9.859027863E0,9.897174373E0
1.626564770E-1,2.009970993E-1,7.983054519E-1,9.854242325E0,9.888568310E0
1.651175710E-1,1.555334777E-1,7.552346587E-1,9.839884758E0,9.870050765E0
1.675786130E-1,7.896314561E-2,6.786643267E-1,9.870991707E0,9.894609529E0
1.700396540E-1,7.896314561E-2,6.089733839E-1,9.928718567E0,9.947689990E0
1.725007480E-1,7.417750359E-2,6.424728632E-1,9.902098656E0,9.923196636E0
1.749618420E-1,9.092725813E-2,6.592226624E-1,9.914062500E0,9.936371447E0
1.774228830E-1,1.076770201E-1,6.738786697E-1,9.851848602E0,9.875455822E0
1.798839770E-1,1.100698411E-1,6.664010882E-1,9.832706451E0,9.855877533E0
1.823450190E-1,1.172483116E-1,6.714858413E-1,9.882955551E0,9.906434819E0
1.848061130E-1,1.268195957E-1,6.472585201E-1,9.902098656E0,9.924040739E0
1.872672060E-1,1.363908947E-1,6.424728632E-1,9.875777245E0,9.897593144E0
1.897472580E-1,1.339980662E-1,6.762714982E-1,9.837491989E0,9.861619910E0
1.922083000E-1,1.627119333E-1,6.592226624E-1,9.904491425E0,9.927738920E0
1.946693420E-1,1.268195957E-1,6.664010882E-1,9.919147491E0,9.942316660E0
