"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.986000670E-1,-2.153158188E-3,1.004118323E-1,-3.530960083E-1,3.671021155E-1
2.035232440E-1,-4.052514583E-2,1.002261639E-1,-1.357965469E-1,1.735749796E-1
2.084762650E-1,1.380900443E-1,3.434497118E-2,3.870220184E-1,4.123523737E-1
2.134425150E-1,-7.791428268E-2,1.197303832E-1,-1.989870071E-1,2.449527079E-1
2.184212650E-1,1.782077923E-2,5.588510633E-2,4.503250122E-3,5.883030293E-2
2.233805880E-1,3.674330935E-2,9.615999460E-2,2.538490295E-2,1.060245662E-1
2.283358480E-1,-1.019943133E-2,2.102294564E-2,-1.036281586E-1,1.062298823E-1
2.332738690E-1,2.091753483E-2,5.293279886E-2,-1.921167374E-1,2.003703202E-1
2.382235040E-1,2.332090214E-2,2.567020059E-2,-2.616310120E-2,4.344342918E-2
2.431748580E-1,-1.287626848E-2,6.251528859E-2,-1.635084152E-1,1.755248172E-1
2.481290250E-1,2.455258742E-2,-4.361212254E-3,1.023473740E-1,1.053415145E-1
2.530990250E-1,3.829333559E-2,3.532120585E-2,2.381534576E-1,2.437848160E-1
2.580424110E-1,-4.802670330E-3,2.034580708E-2,-6.043434143E-3,2.176098812E-2
2.630380880E-1,1.620572060E-2,2.939587831E-2,-5.278491974E-2,6.255390311E-2
2.679774630E-1,5.571368337E-2,5.750656128E-4,6.322288513E-2,8.427027008E-2
2.729244420E-1,1.451942325E-2,1.452466846E-2,-8.455276489E-3,2.220971287E-2
2.778705880E-1,3.523023054E-2,1.891201735E-2,3.395748138E-2,5.245897527E-2
2.828155880E-1,2.275300398E-2,-2.141034603E-2,9.666442871E-2,1.015879613E-1
2.877774630E-1,5.750000104E-2,-3.029182553E-2,9.006690979E-2,1.110670656E-1
2.927458480E-1,5.865869299E-2,-3.679299355E-2,1.400241852E-1,1.562092797E-1
2.976895980E-1,1.508769020E-2,-1.505830884E-2,2.196502686E-1,2.206821958E-1
3.026763690E-1,3.121034056E-2,-4.773142934E-2,2.649583817E-1,2.710264170E-1
3.075972020E-1,4.477209970E-2,-3.281253576E-2,1.707696915E-1,1.795647263E-1
3.125616810E-1,2.992540598E-2,-3.458911180E-2,5.381584167E-3,4.605320865E-2
3.175449630E-1,1.119971275E-3,-2.925875783E-2,-2.766227722E-2,4.028065077E-2
3.224657960E-1,3.865427524E-2,1.123234630E-2,-1.070404053E-2,4.165207175E-2
3.274222540E-1,2.603799477E-2,-1.013636589E-2,1.284160614E-1,1.314207286E-1
3.323918900E-1,4.200771451E-2,-2.884715796E-3,2.110767365E-1,2.152355880E-1
3.373331400E-1,5.793049559E-2,4.144877195E-3,2.288265228E-1,2.360819770E-1
3.423244940E-1,5.213636905E-3,-1.242974401E-2,1.355743408E-1,1.362427335E-1
3.472551710E-1,-6.640054286E-3,-7.527053356E-3,-5.668640137E-3,1.152737325E-2
3.522209000E-1,-1.836780086E-2,1.621398330E-2,-8.103942871E-2,8.466202436E-2
3.571704310E-1,-1.814588532E-2,2.774813771E-2,-1.139068604E-2,3.505681145E-2
3.621188170E-1,-1.337569207E-3,2.039450407E-2,6.662845612E-2,6.969272596E-2
3.670979310E-1,-6.014347076E-3,4.380658269E-2,1.371383667E-2,4.629533858E-2
3.720320460E-1,-1.778292656E-2,5.500480533E-2,-3.841590881E-2,6.940852351E-2
3.770431400E-1,-8.112538606E-3,5.663624406E-2,-2.449989319E-3,5.726674315E-2
3.819382440E-1,-1.978185400E-2,5.825468898E-2,-5.436611176E-2,8.210118539E-2
3.869240250E-1,-1.244951040E-2,7.873174548E-2,-1.055612564E-1,1.322756853E-1
3.918842330E-1,-1.235592365E-2,8.248123527E-2,-9.937572479E-2,1.297357225E-1
3.968396500E-1,-4.295501113E-2,5.067744851E-2,-1.027421951E-1,1.223490720E-1
4.017986610E-1,-3.298169374E-2,4.055610299E-2,-4.700183868E-2,7.029767032E-2
4.067481920E-1,-1.831583306E-2,4.257503152E-2,-7.474708557E-2,8.795015549E-2
4.117064730E-1,-8.548274636E-3,6.335815787E-2,-1.163196564E-1,1.327312760E-1
4.166600670E-1,-6.051391363E-3,7.200840116E-2,-1.029872894E-1,1.258102180E-1
4.216152750E-1,-1.073598489E-2,1.113540530E-1,-5.200958252E-2,1.233692959E-1
4.265720460E-1,1.777398959E-2,7.923898101E-2,-8.919620514E-2,1.206262568E-1
4.314996500E-1,5.544527248E-2,7.834118605E-2,-8.098983765E-2,1.255821384E-1
4.365244420E-1,1.931858435E-2,9.163779020E-2,-1.012859344E-1,1.379475727E-1
4.414440770E-1,2.602013201E-2,7.150340080E-2,-1.544694901E-1,1.721935160E-1
4.463999110E-1,1.841549948E-2,4.933261871E-2,-6.504058838E-2,8.368462240E-2
4.513506400E-1,2.750144526E-2,3.445625305E-2,-2.719879150E-3,4.416967974E-2
4.563109520E-1,3.470808268E-3,3.169962764E-2,2.098464966E-2,3.817418530E-2
4.612339730E-1,-8.311949670E-3,6.457069516E-2,-1.004314423E-2,6.587357533E-2
4.662034000E-1,2.732721344E-2,7.097354531E-2,-7.149696350E-2,1.043831237E-1
4.711604830E-1,2.935611829E-2,2.750173211E-2,-7.305145264E-2,8.339449432E-2
4.761287130E-1,1.714937389E-2,2.018064260E-2,-1.538944244E-2,3.062995755E-2
4.810831400E-1,5.106333643E-3,2.223804593E-2,2.268886566E-2,3.217747590E-2
4.860539730E-1,1.742281020E-4,3.614705801E-2,2.718162537E-2,4.522699322E-2
4.910255360E-1,-1.642200723E-2,2.387109399E-2,6.716823578E-2,7.315109943E-2
4.959580360E-1,5.200255662E-3,-9.545713663E-3,3.326797485E-2,3.499887797E-2
5.009106400E-1,2.638952434E-2,-2.838829160E-2,-3.344631195E-2,5.119529156E-2
5.058674110E-1,-1.189334691E-2,-6.741523743E-3,-5.679702759E-2,5.841919364E-2
5.108281400E-1,-7.058508694E-3,7.593393326E-3,7.798194885E-3,1.297281815E-2
5.157762130E-1,2.145710960E-2,-3.504031897E-2,6.935214996E-2,8.060987663E-2
